Vraag;Antwoord
Track and trace werkt niet;Track and trace informatie wordt soms pas actief zodra het pakket door DPD is gescand. Dit kan enkele uren tot één werkdag duren na verzending. Probeer de link later opnieuw. Zolang de bestelling recent is verzonden, is dit normaal. Blijft de track and trace meerdere werkdagen zonder update, dan horen wij graag van je.
Levering duurt langer dan verwacht;Wij versturen op voorraad zijnde artikelen binnen 2 tot 5 werkdagen. Na verzending wordt het pakket in 95 procent van de gevallen de volgende werkdag geleverd, uiterlijk binnen 4 werkdagen. Door drukte bij DPD kan een levering soms iets vertragen. Zolang de track and trace updates toont, is het pakket onderweg. Heeft het pakket langer dan 4 dagen geen statuswijziging bij DPD, dan horen wij graag van je.
Kan ik het afleveradres nog wijzigen;Wij kunnen het afleveradres niet meer aanpassen nadat een bestelling is geplaatst. Zodra de bestelling is verzonden, kun je via de track and trace van DPD zelf bezorgvoorkeuren wijzigen. Via track and trace kun je kiezen voor een andere bezorgdag, een veilige plek rondom het huis, een alternatief afleveradres of een pickup point. Controleer daarom altijd de track and trace zodra je de verzendbevestiging hebt ontvangen. Lukt het niet om de gewenste wijziging door te voeren via track and trace, dan horen wij graag van je.
Wat is de levertijd;Op voorraad zijnde artikelen worden binnen 2 tot 5 werkdagen verzonden. Heeft een artikel een andere levertijd, dan staat dit vermeld op de productpagina. Na verzending wordt het pakket in 95 procent van de gevallen de volgende werkdag geleverd, uiterlijk binnen 4 werkdagen. De actuele status is altijd te volgen via de track and trace.
Versturen jullie ook naar andere landen;Wij verzenden naar meerdere landen. De beschikbare landen en bijbehorende verzendkosten worden automatisch weergegeven tijdens het afrekenen. Staat een land er niet tussen, dan is verzending naar dat land niet mogelijk.
Wat zijn de verzendkosten;De verzendkosten worden automatisch berekend op basis van het afleveradres en het land van bestemming. Deze worden altijd duidelijk weergegeven in de winkelwagen en tijdens het afrekenen.  Wij verzenden naar de volgende landen met bijbehorende verzendkosten en gratis verzending vanaf het genoemde bestelbedrag:  Nederland € 4,95, gratis vanaf € 50,00 België € 4,95, gratis vanaf € 50,00 Duitsland € 4,95, gratis vanaf € 50,00 Frankrijk € 7,95, gratis vanaf € 75,00 Oostenrijk € 7,95, gratis vanaf € 100,00 Denemarken € 11,95, gratis vanaf € 100,00 Luxemburg € 7,95, gratis vanaf € 100,00 Verenigd Koninkrijk € 9,95, gratis vanaf € 100,00  Overige Europese landen hanteren hogere verzendkosten en een hoger bedrag voor gratis verzending, variërend per land. Deze worden altijd automatisch en correct weergegeven tijdens het afrekenen. Op de klantenservicepagina kun je alle verzendkosten terugvinden.  Staat een land er niet tussen tijdens het afrekenen, dan is verzending naar dat land niet mogelijk. Klopt er iets niet of heb je vragen over de verzendkosten, dan horen wij graag van je.
Mijn pakket is beschadigd aangekomen;Controleer direct na ontvangst de inhoud van het pakket. Is het product beschadigd aangekomen, bewaar dan het product en de verpakking. Dit is nodig om de zending correct te beoordelen.  Meld de schade via het retourformulier en geef daarbij aan dat het product beschadigd is. Wij vragen je vervolgens om foto’s van zowel de verpakking als de inhoud.  Na ontvangst van deze informatie nemen wij de aanvraag zo snel mogelijk in behandeling en zorgen wij voor een passende oplossing. Wij lossen dit uiteraard altijd goed op.
Kan ik mijn bestelling afhalen of hebben jullie een winkel?;Tops filters is een webshop en heeft geen fysieke winkel of afhaallocatie. Bestellingen kunnen uitsluitend online worden geplaatst en worden verzonden naar het opgegeven afleveradres. Afhalen is niet mogelijk.
Retour aanvragen;Retourneren kan via onze retourpagina op de webshop. Je vult hier je bestelnummer en e-mailadres in. Daarna wordt je bestelling opgehaald, volg de stappen in de retourflow en kies een verzendoptie. Je kunt het retourlabel direct online downloaden en printen. We bieden ook printloze retourmogelijkheden aan.
Hoe kan ik een product retourneren;Ga naar de retourpagina op de webshop en vul je bestelnummer en e-mailadres in. Je bestelling verschijnt automatisch. Volg de stappen in de retourflow en kies een verzendoptie. Je kunt het retourlabel direct online downloaden en printen. We bieden ook printloze retourmogelijkheden aan.
Wat is de retourtermijn;Je kunt een product binnen 90 dagen retourneren via onze retourpagina. Voor beschadigde producten en verkeerd geleverde producten hanteren wij de wettelijke herroepingsperiode van 14 dagen. Meld je retour altijd aan via de retourpagina op de webshop  door je bestelnummer en e-mailadres in te vullen. Retouraanvragen buiten deze termijnen kunnen niet in behandeling worden genomen.
Moet ik betalen voor retourzending;Tijdens het aanmelden van je retour via onze retourpagina zie je de beschikbare retouropties. Wij bieden gratis retourneren met DPD aan. Deze optie is altijd kosteloos.  Daarnaast bieden wij ook retourmogelijkheden via andere transporteurs. Omdat wij hier geen directe afspraken mee hebben, vragen wij voor deze opties een kleine bijdrage.  Alle beschikbare opties en eventuele kosten worden duidelijk weergegeven tijdens de retourflow, zodat je zelf kunt kiezen wat het beste bij je past.  Is het product verkeerd of beschadigd geleverd, dan wordt dit altijd kosteloos opgelost.
Wanneer krijg ik mijn geld terug;Zodra de retourzending door ons is ontvangen en gecontroleerd, wordt het bedrag teruggestort via dezelfde betaalmethode als waarmee de bestelling is geplaatst.  Wij streven ernaar het bedrag binnen 5 werkdagen na ontvangst van de retourzending terug te betalen. Na verwerking wordt het bedrag meestal binnen 1 werkdag door de betaalprovider teruggestort.  Je ontvangt hiervan automatisch bericht zodra de terugbetaling is verwerkt.
Verkeerde filters geleverd gekregen;Meld de retour aan via de retourpagina op de webshop. Geef in de retourflow aan dat het om een verkeerd geleverd product gaat. Na beoordeling zorgen wij voor een passende oplossing.
Inhoud is anders dan besteld;Ga naar de retourpagina en meld de retour aan met je bestelnummer en e-mailadres. Geef in de retourflow aan dat de inhoud afwijkt van de bestelling. Voeg indien nodig aanvullende informatie toe zodat de aanvraag snel kan worden beoordeeld.
Product ontbreekt in mijn bestelling;Controleer eerst of de bestelling mogelijk in meerdere pakketten is verzonden. Ontbreekt er alsnog een product, meld dit dan via de retourpagina. Geef duidelijk aan welk product ontbreekt zodat dit kan worden nagekeken en opgelost.
Product is defect geleverd;Meld het defect via de retourpagina op de webshop en geef aan dat het om een defect product gaat. Wij nemen de aanvraag zo snel mogelijk in behandeling en zorgen voor een passende oplossing.
Welk filter heb ik nodig;Om het juiste filter te kiezen, volg je deze stappen. Onze website is opgebouwd in drie vaste stappen: merk ? unit ? product. Je begint altijd met het selecteren van het merk van je installatie. Vervolgens kies je het juiste type unit. Bij elke stap zie je duidelijke afbeeldingen, zodat je visueel kunt controleren of dit overeenkomt met jouw installatie. Zodra je de juiste unit hebt gekozen, tonen wij automatisch het juiste filter. Controleer daarna altijd ter verificatie het huidige filter: haal deze uit de unit en meet het filter op in millimeters (lengte × breedte × hoogte). Vergelijk deze afmetingen met de specificaties op de productpagina. Komen merk, unit, afbeeldingen én afmetingen overeen, dan weet je zeker dat je het juiste filter bestelt.
Ik weet het merk of type van mijn unit niet;Als je het merk of type niet weet, begin met een visuele controle van de installatie. Kijk naar de buitenkant en binnenkant van de unit en vergelijk deze met de afbeeldingen op onze website bij de verschillende merken en units. Op veel units zit ook een typeplaatje of sticker met merk en type. Kun je dit niet vinden, haal dan de filters uit de unit en meet deze op in millimeters (lengte × breedte × hoogte). Gebruik deze afmetingen om in de specificaties op de productpagina te controleren welk filter past. Deze combinatie van afbeeldingen en afmetingen is altijd leidend.
Hoe weet ik zeker dat ik het juiste filter bestel;Je weet zeker dat je het juiste filter bestelt wanneer drie controles kloppen: 1. Het merk en de unit komen overeen met jouw installatie. 2. De afbeeldingen van de unit en het filter komen overeen met wat je thuis ziet. 3. De afmetingen van het huidige filter komen exact overeen met de specificaties op de productpagina. Door deze drie stappen te volgen voorkom je een verkeerde bestelling.
Waar kan ik de afmetingen controleren;De afmetingen van elk filter staan vermeld in de specificaties op de productpagina. Meet altijd je huidige filter op in millimeters en vergelijk deze maten met de specificaties. Gebruik de meting altijd als extra controle, ook wanneer merk en unit overeenkomen.
Waarom moet ik het filter opmeten;Het opmeten van het filter is een belangrijke controle. Ook binnen hetzelfde merk en type unit kunnen filters voorkomen met kleine maatverschillen. Door altijd het huidige filter op te meten en deze maten te vergelijken met de specificaties op de website, weet je zeker dat het filter past.
Kan ik afgaan op alleen het merk en type;Nee. Merk en type zijn het startpunt, maar niet voldoende als enige controle. Wij adviseren altijd om daarnaast de afbeeldingen te vergelijken en het huidige filter op te meten. Alleen deze combinatie geeft zekerheid dat je het juiste filter bestelt.
Zijn dit originele filters of alternatieven;Op onze website heb je altijd een duidelijke keuze tussen originele filters van de fabrikant en ons eigen TOPS-merk. Beide opties zijn volledig geschikt voor de geselecteerde unit. Op de productpagina zie je deze keuze expliciet terug onder Merk filter, inclusief duidelijke productafbeeldingen. Zo weet je exact welk filter je bestelt en is altijd helder of het om een origineel filter of een TOPS-filter gaat.
Wat is het verschil tussen origineel en TOPS merk;Originele filters zijn filters van de fabrikant van de installatie. Het TOPS-merk is ons eigen merk en is speciaal ontwikkeld voor dezelfde units en specificaties. Beide opties passen in dezelfde unit en zijn geschikt voor hetzelfde type installatie. Het verschil zit in het merk en de prijs, niet in de toepasbaarheid. Je kiest dus bewust en transparant welke optie het beste bij je past.
Hoe weet ik welk merk filter ik bestel;Op de productpagina kies je het merk filter voordat je bestelt. Hierbij zie je duidelijk aangegeven of je kiest voor het origineel of het TOPS filter. Deze keuze wordt ook visueel ondersteund met productafbeeldingen. De geselecteerde optie is altijd leidend voor wat je bestelt en ontvangt.
Bieden jullie ook alternatieve filters aan;Nee. Wij bieden uitsluitend originele filters en filters van ons eigen TOPS-merk aan. We werken niet met alternatieve of onbekende merken. Hierdoor weet je altijd precies wat je koopt en voorkomen we onduidelijkheid of kwaliteitsverschillen.
Wat is het verschil tussen een G3 en een F7-filter?;Het verschil tussen een G3 en een F7-filter zit in de mate waarin de lucht wordt gefilterd.  Een G3-filter is een groffilter. Dit filtert vooral grotere stofdeeltjes uit de lucht, zoals huisstof en grof vuil. Het biedt weinig weerstand en wordt vaak toegepast aan de afvoerzijde van een WTW-unit, waar de lucht de woning verlaat en vooral dient ter bescherming van de installatie.  Een F7-filter is een fijnfilter, ook wel pollenfilter genoemd. Dit filtert veel kleinere deeltjes uit de lucht, zoals fijnstof, pollen en bacteriën. Een F7-filter wordt gebruikt aan de toevoerzijde van de WTW-unit, zodat de lucht die de woning binnenkomt zo schoon mogelijk is. Dit is vooral geschikt voor mensen met allergieën of een verhoogde behoefte aan schone binnenlucht.  Kort samengevat:  G3-filter: grof, lage filterwerking, meestal voor afvoerlucht  F7-filter: fijn, hoge filterwerking, altijd voor toevoerlucht
Factuur ontvangen;Je kunt de factuur terugvinden via de betaalbevestiging die je per e-mail hebt ontvangen. Controleer ook je spamfolder. De factuur hoort bij het bestelnummer en bevat alle bestel- en betaalgegevens. Daarnaast kun je de factuur ook terugvinden in je account.
Ik heb geen factuur ontvangen;De factuur wordt automatisch verstuurd nadat de bestelling is afgerond en de betaling is bevestigd. Controleer eerst je spamfolder. Heb je de betaalbevestiging ontvangen, dan kun je via die e-mail ook de factuur openen. Is de betaling nog niet afgerond, dan is er nog geen factuur aangemaakt.
Kan ik mijn factuur opnieuw downloaden;Ja. Je kunt de factuur altijd opnieuw downloaden via de betaalbevestiging in je e-mail of via je account. Gebruik hiervoor het bestelnummer van de betreffende bestelling.
Kan ik een factuur op naam van mijn bedrijf krijgen;Ja. Tijdens het afrekenen kun je je bedrijfsgegevens invullen, zoals bedrijfsnaam en btw-nummer. Deze gegevens worden automatisch op de factuur vermeld. Na het afronden van de bestelling kunnen factuurgegevens niet meer worden aangepast.
Kan ik een btw-factuur krijgen;Ja. Alle facturen zijn btw-facturen. Het btw-bedrag en het btw-percentage staan duidelijk vermeld op de factuur. Wanneer je tijdens het bestellen een btw-nummer invult, wordt dit automatisch op de factuur opgenomen.
Mijn factuurgegevens kloppen niet;De factuur wordt automatisch aangemaakt op basis van de gegevens die tijdens het bestellen zijn ingevuld. Controleer deze gegevens daarom altijd vóór het afronden van de bestelling. Na afronding kunnen factuurgegevens niet meer worden gewijzigd.
Wanneer ontvang ik mijn factuur;Je ontvangt de factuur direct nadat de bestelling is afgerond en de betaling is bevestigd. Bij een bankoverschrijving ontvang je de factuur zodra de betaling is verwerkt.
Ik kan mijn factuur niet openen;De factuur wordt aangeleverd als PDF-bestand. Controleer of je een PDF-lezer gebruikt. Je kunt de factuur ook opnieuw openen of downloaden via de orderbevestiging of via je account.
Kan ik een verzamelfactuur krijgen;Nee. Voor elke bestelling wordt automatisch een aparte factuur aangemaakt. Dit zorgt voor een duidelijk en overzichtelijk overzicht per bestelling en betaling.
Afmelding nieuwsbrief;Je kunt je afmelden voor de nieuwsbrief via de afmeldlink onderaan iedere nieuwsbrief. Na afmelding ontvang je geen marketingnieuwsbrieven meer van ons. E-mails die nodig zijn voor bestellingen en service, zoals order- en verzendbevestigingen, blijf je wel ontvangen.
Wat is de reminder mail;De reminder mail is een automatische herinnering die je elke 6 maanden ontvangt om je eraan te herinneren dat het tijd kan zijn om je filters te vervangen. In deze e-mail tonen we altijd je laatste bestelling, zodat je eenvoudig kunt zien welk filter je eerder hebt gebruikt en direct opnieuw kunt bestellen.
Kan ik de reminder mail uitschakelen;Ja. Onderaan de reminder mail vind je een afmeldlink. Na afmelding ontvang je deze herinneringsmails niet meer. Je blijft wel e-mails ontvangen die nodig zijn voor het verwerken van bestellingen.
Ik ontvang geen nieuwsbrief of reminder mail;Controleer eerst je spamfolder. Het kan ook zijn dat je niet bent aangemeld voor de nieuwsbrief of reminder mails. Aanmelden kan via onze website. Na aanmelding ontvang je toekomstige nieuwsbrieven en, indien actief, reminder mails.
Ik ontvang te veel e-mails;Wij versturen alleen nieuwsbrieven bij acties of relevante updates en reminder mails eens per 6 maanden. Wil je geen marketing- of reminder mails meer ontvangen, dan kun je je afmelden via de afmeldlink onderaan de e-mail. Bestelinformatie blijf je altijd ontvangen.
Hoe meld ik mij aan voor de nieuwsbrief;Je kunt je aanmelden voor de nieuwsbrief via het aanmeldformulier op onze website. Na aanmelding ontvang je nieuws over acties, updates en relevante informatie.
Hoe meld ik mij aan voor reminder mails;De reminder mail wordt automatisch ingesteld op basis van je bestelling. Je ontvangt deze elke 6 maanden als herinnering om je filters te vervangen, inclusief een overzicht van je laatste bestelling.
Ontvang ik na afmelding nog e-mails;Na afmelding ontvang je geen nieuwsbrieven of reminder mails meer. E-mails die nodig zijn voor het verwerken van je bestelling, zoals orderbevestigingen, verzendupdates en facturen, blijven altijd verstuurd worden.
Ik wil mij opnieuw aanmelden;Je kunt je opnieuw aanmelden via het aanmeldformulier op onze website of via een eerdere nieuwsbrief. Zodra je bent aangemeld, ontvang je weer nieuwsbrieven en eventueel reminder mails.
Wat is een WTW-filter;Een WTW-filter is een filter dat wordt gebruikt in een warmteterugwinsysteem. Iedere WTW-unit bevat minimaal twee filters. Eén filter zuivert de aangevoerde lucht zodat schadelijke stoffen worden tegengehouden. Het andere filter zuivert de afgevoerde lucht en beschermt de warmtewisselaar. Door beide filters op tijd te vervangen blijft de binnenlucht gezond en werkt het systeem optimaal.
Wat is het belang van een WTW-filter;Een WTW-filter verbetert de luchtkwaliteit door stof en vervuiling uit de lucht te filteren. Daarnaast beschermt het filter de WTW-unit tegen vervuiling, wat zorgt voor een langere levensduur en een efficiëntere werking. Dit voorkomt onnodig hoog energieverbruik.
Welke WTW-filter moet ik kiezen;Je kiest een WTW-filter op basis van het merk en type van je WTW-unit. Onze website is opgebouwd volgens merk, daarna unit en vervolgens het juiste product. Bij elke stap zie je duidelijke afbeeldingen. Controleer altijd ter verificatie het huidige filter door deze uit de unit te halen en op te meten in millimeters. Vergelijk deze afmetingen met de specificaties op de productpagina.
Wat is het verschil tussen een TOPS-filter en een origineel filter;Wij bieden geen alternatieve merken aan. Je kiest altijd tussen een origineel filter van de fabrikant of een filter van ons eigen TOPS-merk. TOPS-filters worden geproduceerd volgens de ISO 16890-norm en zijn geschikt voor dezelfde units. Het verschil zit in het merk en de prijs, niet in de toepasbaarheid.
Wat is een G3-filter;Een G3-filter is een groffilter dat grotere stofdeeltjes uit de lucht filtert. Het biedt basisbescherming tegen grof stof. Voor fijnere filtering wordt een M- of F-klasse filter geadviseerd.
Wat is een G4-filter;Een G4-filter is een groffilter met een hogere filtercapaciteit dan een G3-filter. Het houdt meer grove stofdeeltjes tegen, maar filtert geen fijnstof.
Wat is een M5-filter;Een M5-filter is een middenfilter dat middelgrote stofdeeltjes uit de lucht filtert. Het biedt betere bescherming dan een G-klasse filter en draagt bij aan een gezonder binnenklimaat.
Wat is een M6-filter;Een M6-filter is een middenfilter met een hogere filterefficiëntie dan een M5-filter. Het filtert kleinere stofdeeltjes en biedt extra bescherming.
Wat is een F7-filter;Een F7-filter is een fijnfilter, ook wel pollenfilter genoemd. Het filtert fijne stofdeeltjes, pollen en bacteriën uit de aangevoerde lucht en is geschikt voor mensen met allergieën.
Wat is een F9-filter;Een F9-filter is een fijnfilter met een zeer hoge filterefficiëntie. Het biedt maximale bescherming tegen zeer fijne stofdeeltjes en bacteriën.
Waar dient een pollenfilter voor;Een pollenfilter, meestal een F7-filter, filtert pollen en andere allergenen uit de aangevoerde lucht. Dit vermindert allergische klachten en verbetert de luchtkwaliteit in huis.
Hoe lang gaat een WTW-filter mee;Een WTW-filter gaat gemiddeld zes maanden mee. Bij intensief gebruik of in een stoffige omgeving kan vervanging eerder nodig zijn. Donker verkleurde of verzadigde filters moeten altijd worden vervangen.
Wat gebeurt er als ik een WTW-filter niet vervang;Als een WTW-filter niet tijdig wordt vervangen, neemt de filterwerking af. Hierdoor verslechtert de luchtkwaliteit en moet de installatie harder werken, wat leidt tot hoger energieverbruik en extra slijtage.
Moet ik een WTW-filter schoonmaken;Nee. Het schoonmaken van WTW-filters met een stofzuiger of water wordt afgeraden. Dit beschadigt de filterstructuur en vermindert de werking. Vervangen is de juiste oplossing.
Wat is een afzuigkapfilter;Een afzuigkapfilter zuivert de lucht die via de afzuigkap wordt afgevoerd. Er zijn vetfilters en koolstoffilters. Het vetfilter vangt vetdeeltjes op en het koolstoffilter neutraliseert geuren.
Wat is een koolstoffilter;Een koolstoffilter bevat actieve kool en neutraliseert kookgeuren en dampen. Het filter draagt bij aan een frisse lucht in de keuken en moet regelmatig worden vervangen.
Wat is het belang van een afzuigkapfilter;Een goed werkend afzuigkapfilter voorkomt dat vet en geuren zich verspreiden in de keuken. Dit beschermt de afzuigkap en verbetert de luchtkwaliteit.
Welke afzuigkapfilter moet ik kiezen;Kies altijd een afzuigkapfilter dat past bij het merk en type van je afzuigkap. Deze informatie is leidend voor een juiste keuze.
Moet ik een afzuigkapfilter schoonmaken;Nee. Koolstoffilters mogen niet worden gereinigd. Reiniging beschadigt het filtermateriaal en vermindert de werking. Vervangen is noodzakelijk.
Wat is een kegelfilter;Een kegelfilter wordt geplaatst achter een afvoerventiel en beschermt het ventilatiekanaal en de ventilatiemotor tegen vervuiling. Dankzij de vorm is het filter eenvoudig te plaatsen.
Wat is filterdoek;Filterdoek is een flexibel filtermateriaal dat op maat kan worden gesneden en wordt toegepast in ventilatie- of airco-units.
